"%s and greater","%s and greater"
"<strong>%d item(s)</strong> were found using the following search criteria","Chúng tôi tìm thấy <strong>%d sản phẩm</strong> theo điều kiện tìm của bạn"
"Advanced Search","Tim kiếm nâng cao"
"Advanced Search Form","Mẫu tìm kiếm nâng cao"
"Advanced Search Result","Kết quả tìm kiếm nâng cao"
"ALL","TẤT CẢ"
"Applies for ""Like"" search type only.","Applies for ""Like"" search type only."
"Apply Layered Navigation if Search Results are Less Than","Apply Layered Navigation if Search Results are Less Than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process."
"Autogenerated Site Map","Autogenerated Site Map"
"Catalog Advanced Search","Tìm nâng cao"
"Catalog Search","Catalog Search"
"Catalog Search Index","Catalog Search Index"
"Don't see what you're looking for?","Bạn không nhận được kết quả mong muốn?"
"Enter ""0"" to enable layered navigation for any number of results.","Enter ""0"" to enable layered navigation for any number of results."
"Go","Tới"
"Go to Home Page","Chở về trang chủ"
"Grid","Lưới"
"Home","Trang chủ"
"List","Danh sách"
"Maximum Query Length","Số ký tự tối đa"
"Maximum Query Words Count","Số từ tối đa"
"Maximum Search query  length is %s. Your query was cut.","Số ký tự tìm kiếm tối đa là %s. Từ khóa tìm kiếm của bạn đã bị lược bỏ."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","Số từ tối đa là %1$s. Từ khóa tìm kiếm của bạn đã bị lược bỏ: %2$s."
"Minimal Query Length","Số ký tự tối thiểu"
"Minimum Search query length is %s","Số ký tự tối thiểu để tìm kiếm là %s"
"Modify your search","Chỉnh sửa tìm kiếm"
"No","Không"
"No items were found using the following search criteria.","Không tìm thấy sản phẩm nào."
"Please specify at least one search term.","Điền ít nhất một từ khóa để tìm kiếm."
"Popular Search Terms","Tìm kiếm phổ biến"
"Quick Search Form","Tìm nhanh"
"Rebuild Catalog product fulltext search index","Rebuild Catalog product fulltext search index"
"Relevance","Liên quan"
"Results","Kế quả"
"Search","Tìm kiếm"
"Search Settings","Cài đặt tìm kiếm"
"Search Terms","Điều khoản tìm kiếm"
"Search Type","Search Type"
"Search entire store here...","Từ khóa cần tìm"
"Search results for '%s'","Kết quả tìm theo '%s'"
"Search results for: '%s'","Kết quả tìm theo: '%s'"
"Search:","Tìm kiếm:"
"Specified date is invalid.","Sai ngày."
"Subscribe to Feed","Đăng ký Feed"
"There are no search terms available.","Không có từ khóa tìm kiếm nào."
"Yes","Đồng ý"
"Your search returns no results.","Chúng tôi không tìm thấy sản phẩm theo từ khóa của bạn."
"up to %s","up to %s"
